"","Sediment","Water","Unknown"
"QU.A.Leaf",0.00487168690838536,0.00494862494930551,0.00201108041719978
"FI.A.Roots",0.0183738945245694,0.00268535120814971,0.0183862871606955
"BC.A.Roots",0.0182622865794815,0.0218997716883076,0.0228220166603314
"BB.A.Roots",0.0123490890352285,0.0134581656336301,0.0165650233926789
"OR.B.Roots",0.0140510972288051,0.0167600715988924,0.0222600788657882
"UK.A.Roots",0.0168970740399369,0.0147290340635238,0.0153987733999245
"SW.A.Roots",0.0201538526782791,0.00881665091365953,0.0241614936992268
"SD.B.Roots",0.0119205704561485,0.011587349423689,0.0133354165039316
"NC.B.Leaf",0.00893246264413621,0.0105772292107989,0.00981835016690685
"NC.B.Roots",0.0158706577613462,0.027467354360323,0.0231315080932192
"WA.B.Roots",0.0199376806853533,0.0104184665111735,0.0190872266770797
"OR.A.Roots",0.0483368964203904,0.0228086240999613,0.0541278322328007
"SF.B.Roots",0.0126143657082797,0.00800347146902865,0.0177688866655549
"FR.B.Roots",0.0178913386866383,0.0221620295901696,0.0113240157776883
"ES.A.Roots",0.0153057723315965,0.0150720491860485,0.0119763656145482
"MX.B.Roots",0.0276172248988039,0.00619677335393187,0.0245094086242633
"FR.A.Roots",0.0108632919095047,0.0235563155013682,0.0165730705262081
"UK.B.Roots",0.0279938485306246,0.0179121312088887,0.0338855918250417
"VA.B.Roots",0.0237346441585572,0.020930838492521,0.00789444248963929
"NC.A.Roots",0.0153698839726699,0.0175337769272149,0.0110232078412371
"ES.B.Roots",0.0345536619702682,0.035084817862495,0.00967298643990917
"PO.A.Roots",0.0320340097049648,0.00954754185932461,0.0381540736138795
"MX.A.Roots",0.0135219985373629,0.00779244648504064,0.0140003968197731
"JS.B.Roots",0.0133931989374375,0.00725794583734115,0.0167069513144147
"KO.B.Roots",0.0155781185570587,0.00830595502569626,0.018939670301014
"PO.B.Roots",0.0144929101440823,0.0106874796945876,0.017982707743212
"BB.B.Leaf",0.0203295078368584,0.0184333634719464,0.020689503511577
"JS.A.Roots",0.0134973248378254,0.00722726319801163,0.0135585151596085
"SF.A.Roots",0.0225427988008982,0.00369534241384416,0.0218858147869548
"KO.A.Roots",0.0124548071932978,0.0160917508197351,0.0176307811637614
"MA.A.Roots",0.00937846232361977,0.00648502548611457,0.00923820569398862
"BC.B.Leaf",0.00241292814278051,0.00929097531060235,0.00938142372516619
"BC.A.Leaf",0.00604520011616195,0.0146518864921135,0.0137501515143167
"MA.A.Leaf",0.00495423500093046,0.0108954628681443,0.0148716732974695
"MA.B.Roots",0.0287332559937087,0.0164049450539227,0.0343234613639126
"BC.B.Roots",0.0196310411791575,0.0181135308540329,0.0203581815385254
"LI.B.Roots",0.0214011941515213,0.0191836156944177,0.00639791632747204
"VA.A.Leaf",0.0032659863237109,0.0038020462326957,0.00216281709300111
"JN.A.Roots",0.0197936577945788,0.0101110500608658,0.0206074420214316
"KO.A.Leaf",0.0122696554329959,0.0173025367440089,0.0230422317591948
"BB.B.Roots",0.0221261534539257,0.0132669179205689,0.0220705938096625
"SF.B.Leaf",0.00971882480321338,0.0230062793360615,0.0295155326339652
"QU.A.Roots",0.0225585657542515,0.0154520764516186,0.0115127948146592
"NC.A.Leaf",0.00264365067451978,0.00933868893962698,0.00752477389841196
"JN.B.Leaf",0.00714609450445953,0.0174295406964409,0.0192829804058743
"JN.B.Roots",0.0223410434452427,0.0168983891408488,0.0255301564603292
"IR.A.Roots",0.015121728296285,0.019967751779084,0.0219048447203403
"ES.B.Leaf",0.00738542107428171,0.00736055553458962,0.00191195071996
"SD.A.Roots",0.0203374312810421,0.0171674757090908,0.0265539283555392
"LI.A.Roots",0.0142083699901775,0.0143836326735943,0.00317804971641414
"VA.A.Roots",0.0165089201477397,0.0126912043032435,0.00813019064967114
"IR.B.Roots",0.0222760459288048,0.0167478025092514,0.0250608149197995
"SW.B.Roots",0.0132899293535452,0.0102853725692796,0.0110800120336878
"VA.B.Leaf",0.00596750459665605,0.00651579278028051,0.0013984117975602
"BB.A.Leaf",0.0115417117929322,0.0235937844922485,0.0263077935220725
"ES.A.Leaf",0.00328125992061992,0.00373571352696584,0.00115950180872841
"JN.A.Leaf",0.00705218642219088,0.0129361680742191,0.00924301538099626
"KO.B.Leaf",0.0207952986139763,0.0106999480787941,0.025674024919275
"QU.B.Leaf",0.00236643191323985,0.00316227766016838,0.00164654520469713
"QU.B.Roots",0.010115444736749,0.00949912276651552,0.00374759181934805
"WA.B.Leaf",0.00601479656994131,0.0219342451684828,0.0205577776576706
"SF.A.Leaf",0.00164991582276861,0.0114910593264696,0.0103112667612773
